dimension,seed_origin,candidate_term,cosine,kept_or_removed,reason,theta
E,폐기물,Demodulator,0.9998681545257568,,,0.6
E,폐기물,Processor,0.999866247177124,,,0.6
E,폐기물,Governance,0.9998648166656494,,,0.6
E,폐기물,Directive,0.9998619556427002,,,0.6
E,폐기물,Memory,0.9998618960380554,,,0.6
E,폐기물,Regulation,0.999860942363739,,,0.6
E,폐기물,Headphone,0.9998595714569092,,,0.6
E,폐기물,SRI,0.99985271692276,,,0.6
E,폐기물,Transistor,0.9998524188995361,,,0.6
E,폐기물,Processing,0.9998510479927063,,,0.6
E,폐기물,Modulator,0.9998492002487183,,,0.6
E,폐기물,Singapore,0.9998469948768616,,,0.6
E,재활용,기능,0.999846339225769,,,0.6
E,폐기물,Unit,0.9998461604118347,,,0.6
E,폐기물,Optoelectronics,0.9998442530632019,,,0.6
E,폐기물,Diode,0.9998389482498169,,,0.6
E,폐기물,InVehicle,0.9998365044593811,,,0.6
E,폐기물,SRC,0.9998359680175781,,,0.6
E,폐기물,Electronics,0.9998356699943542,,,0.6
E,폐기물,Active,0.9998354911804199,,,0.6
E,폐기물,Technology,0.9998352527618408,,,0.6
E,폐기물,Techtronics,0.9998331665992737,,,0.6
E,폐기물,Specialty,0.9998317956924438,,,0.6
E,폐기물,Mode,0.9998304843902588,,,0.6
E,폐기물,미국,0.9998296499252319,,,0.6
E,폐기물,Vehicle,0.999828040599823,,,0.6
E,폐기물,SRUKR,0.9998265504837036,,,0.6
E,폐기물,Nanjing,0.9998264908790588,,,0.6
E,폐기물,Application,0.9998257756233215,,,0.6
E,폐기물,SRBD,0.9998251795768738,,,0.6
E,폐기물,Bangalore,0.9998248219490051,,,0.6
E,폐기물,Infotainment,0.9998237490653992,,,0.6
E,폐기물,Loading,0.9998229742050171,,,0.6
E,재활용,아니라,0.9998208284378052,,,0.6
E,폐기물,Australia,0.9998198747634888,,,0.6
E,폐기물,Telematics,0.9998191595077515,,,0.6
E,폐기물,Emitting,0.9998182058334351,,,0.6
E,폐기물,Beijing,0.999817967414856,,,0.6
E,폐기물,Graphics,0.9998173713684082,,,0.6
E,폐기물,TCL,0.9998172521591187,,,0.6
E,폐기물,Signal,0.9998170137405396,,,0.6
E,폐기물,Corporation,0.9998159408569336,,,0.6
E,폐기물,Delhi,0.9998155236244202,,,0.6
E,폐기물,Access,0.9998154044151306,,,0.6
E,폐기물,Leading,0.9998153448104858,,,0.6
E,폐기물,Wideband,0.9998148679733276,,,0.6
E,폐기물,장치,0.9998140335083008,,,0.6
E,폐기물,Dynamic,0.9998121857643127,,,0.6
E,폐기물,주는,0.999809741973877,,,0.6
E,폐기물,전략,0.9998093247413635,,,0.6
E,폐기물,Operating,0.9998092651367188,,,0.6
E,폐기물,Modem,0.9998080730438232,,,0.6
E,폐기물,Integrated,0.9998062252998352,,,0.6
E,폐기물,SRR,0.9998058080673218,,,0.6
E,폐기물,Volatile,0.9998051524162292,,,0.6
E,폐기물,Speaker,0.9998050332069397,,,0.6
E,폐기물,Qualcomm,0.999804675579071,,,0.6
E,폐기물,France,0.999804675579071,,,0.6
E,폐기물,Central,0.999803900718689,,,0.6
E,폐기물,Cycle,0.9998036623001099,,,0.6
E,폐기물,실시간,0.9998035430908203,,,0.6
E,폐기물,같은,0.9998019933700562,,,0.6
E,폐기물,Mobile,0.999801516532898,,,0.6
E,폐기물,Ericsson,0.9998006224632263,,,0.6
E,폐기물,응용프로그램,0.9998005032539368,,,0.6
E,폐기물,인식,0.9998003840446472,,,0.6
E,폐기물,Hong,0.9997970461845398,,,0.6
E,폐기물,Liquid,0.9997966885566711,,,0.6
E,폐기물,콘텐츠,0.9997966289520264,,,0.6
