feature_or_model,grade,n,rho,p,t_stat,t_p,type,R²,AIC,BIC
seed_tfidf_E,esg_grade_num,29.0,0.6057970691149502,0.0004965778805717963,1.2190158760174474,0.24158168275275632,validity,,,
seed_tfidf_S,esg_grade_num,29.0,0.27530754123278484,0.14832676709887307,1.1946978680675122,0.25033630723791417,validity,,,
seed_tfidf_G,esg_grade_num,29.0,0.18318943108019245,0.3415058362165554,-0.24718142231070492,0.806871848299283,validity,,,
expanded_tfidf_E,esg_grade_num,29.0,0.6057970691149502,0.0004965778805717963,1.2190158760174474,0.24158168275275632,validity,,,
expanded_tfidf_S,esg_grade_num,29.0,0.10340664409705462,0.5934788308680985,0.8878751036260029,0.3874992598127554,validity,,,
expanded_tfidf_G,esg_grade_num,29.0,0.18318943108019245,0.3415058362165554,-0.24718142231070492,0.806871848299283,validity,,,
cosine_E,esg_grade_num,29.0,0.5252719916490958,0.0034341653844096477,1.46953935914196,0.1619196021354976,validity,,,
cosine_S,esg_grade_num,29.0,0.42652746403254277,0.02103512979746667,2.007078634590623,0.06001590478908144,validity,,,
cosine_G,esg_grade_num,29.0,0.2621226776713939,0.1695532530352146,-0.17850074148327744,0.85987788417131,validity,,,
seed_tfidf_E,e_grade_num,29.0,0.5821911684534493,0.0009220165583811289,1.5484646919105276,0.140910785074136,validity,,,
seed_tfidf_S,s_grade_num,29.0,0.23453978732365968,0.22070765018784316,-0.6924055857714267,0.4996220994683475,validity,,,
seed_tfidf_G,g_grade_num,29.0,0.22584454523544154,0.23879332415191612,0.3282496414675879,0.7475908659317593,validity,,,
expanded_tfidf_E,e_grade_num,29.0,0.5821911684534493,0.0009220165583811289,1.5484646919105276,0.140910785074136,validity,,,
expanded_tfidf_S,s_grade_num,29.0,0.20682127402884518,0.2817182747440882,-0.8735439971387796,0.39724351180628276,validity,,,
expanded_tfidf_G,g_grade_num,29.0,0.22584454523544154,0.23879332415191612,0.3282496414675879,0.7475908659317593,validity,,,
OLS_seed_E,,,7.364759627736857,0.029152340115467617,,,model,0.29511989004421013,110.0275843973151,114.12947188727452
OLS_expanded_E,,,7.364759627736857,0.029152340115467617,,,model,0.29511989004421013,110.0275843973151,114.12947188727452
OrderedLogit_seed_E,,,-0.005223934340858889,0.9993496907513483,,,model,,112.05698750779,121.62805831769532
BinaryLogit_seed_E (A이상),,,41.09226077163384,0.07505396472761275,,,model,0.3643676296052436,30.469353854883078,34.5712413448425
