company_name,stock_code,corp_code,fiscal_year,esg_year,rcept_no,report_nm,rcept_dt,selection_priority,section_chars_II,section_chars_IV,section_chars_VI,total_chars,viewer_url,status,reason
삼성전자,005930,00126380,2022,2023,20230307000542,사업보고서 (2022.12),20230307,0,24412,12261,5202,41877,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230307000542,SUCCESS,
삼성전자,005930,00126380,2023,2024,20240312000736,사업보고서 (2023.12),20240312,0,25756,11972,5445,43175,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,SUCCESS,
삼성전자,005930,00126380,2024,2025,20250311001085,사업보고서 (2024.12),20250311,0,26264,10863,5453,42582,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001085,SUCCESS,
BYC,001460,00122579,2022,2023,20230316001312,사업보고서 (2022.12),20230316,0,4129,2555,2141,8827,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001312,SUCCESS,
BYC,001460,00122579,2023,2024,20240314001341,사업보고서 (2023.12),20240314,0,3277,2318,2102,7699,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001341,SUCCESS,
BYC,001460,00122579,2024,2025,20250320001026,사업보고서 (2024.12),20250320,0,5199,2281,2119,9601,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001026,SUCCESS,
현대자동차,005380,00164742,2022,2023,20230315001030,사업보고서 (2022.12),20230315,0,44377,9585,6776,60740,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001030,SUCCESS,
현대자동차,005380,00164742,2023,2024,20240313001451,사업보고서 (2023.12),20240313,0,42998,10427,7035,60462,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240313001451,SUCCESS,
현대자동차,005380,00164742,2024,2025,20250312001148,사업보고서 (2024.12),20250312,0,38016,12545,7096,57659,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312001148,SUCCESS,
CJ대한통운,000120,00113410,2022,2023,20230317000857,사업보고서 (2022.12),20230317,0,16948,8303,3451,28704,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230317000857,SUCCESS,
CJ대한통운,000120,00113410,2023,2024,20240315000705,사업보고서 (2023.12),20240315,0,16813,8244,3458,28517,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000705,SUCCESS,
CJ대한통운,000120,00113410,2024,2025,20250317000953,사업보고서 (2024.12),20250317,0,16571,6134,3479,26186,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000953,SUCCESS,
CJ제일제당,097950,00635134,2022,2023,20230320000712,사업보고서 (2022.12),20230320,0,24280,9858,3428,37568,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000712,SUCCESS,
CJ제일제당,097950,00635134,2023,2024,20240319000861,사업보고서 (2023.12),20240319,0,26527,22391,4905,53825,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240319000861,SUCCESS,
CJ제일제당,097950,00635134,2024,2025,20250317000648,사업보고서 (2024.12),20250317,0,24873,20051,3842,48768,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000648,SUCCESS,
CJ,001040,00148540,2022,2023,20230321001305,사업보고서 (2022.12),20230321,0,86421,54105,4082,144610,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001305,SUCCESS,
CJ,001040,00148540,2023,2024,20240320001996,사업보고서 (2023.12),20240320,0,89854,71513,3606,164975,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001996,SUCCESS,
CJ,001040,00148540,2024,2025,20250318001349,사업보고서 (2024.12),20250318,0,86920,66705,3899,157526,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001349,SUCCESS,
CJ ENM,035760,00265324,2022,2023,20230320000724,사업보고서 (2022.12),20230320,0,24602,6214,2627,33445,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000724,SUCCESS,
CJ ENM,035760,00265324,2023,2024,20240318000857,사업보고서 (2023.12),20240318,0,27683,8113,2625,38423,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000857,SUCCESS,
CJ ENM,035760,00265324,2024,2025,20250319000884,사업보고서 (2024.12),20250319,0,29443,7693,2808,39946,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000884,SUCCESS,
BGF리테일,282330,01263022,2022,2023,20230320000886,사업보고서 (2022.12),20230320,0,11748,10899,3693,26342,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000886,SUCCESS,
BGF리테일,282330,01263022,2023,2024,20240313001437,사업보고서 (2023.12),20240313,0,12086,10544,3904,26536,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240313001437,SUCCESS,
BGF리테일,282330,01263022,2024,2025,20250318000733,사업보고서 (2024.12),20250318,0,18956,10847,3330,33135,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000733,SUCCESS,
CJ프레시웨이,051500,00127954,2022,2023,20230317000800,사업보고서 (2022.12),20230317,0,8026,5936,2160,16124,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230317000800,SUCCESS,
CJ프레시웨이,051500,00127954,2023,2024,20240320001012,사업보고서 (2023.12),20240320,0,8556,5581,2157,16296,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001012,SUCCESS,
CJ프레시웨이,051500,00127954,2024,2025,20250320000745,사업보고서 (2024.12),20250320,0,8278,5118,2284,15682,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000745,SUCCESS,
SK하이닉스,000660,00164779,2022,2023,20230321001209,사업보고서 (2022.12),20230321,0,26056,9035,6594,41687,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001209,SUCCESS,
SK하이닉스,000660,00164779,2023,2024,20240319000684,사업보고서 (2023.12),20240319,0,27763,8268,5705,41738,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240319000684,SUCCESS,
SK하이닉스,000660,00164779,2024,2025,20250319000665,사업보고서 (2024.12),20250319,0,25114,7172,5746,38034,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000665,SUCCESS,
NAVER,035420,00266961,2022,2023,20230314001049,사업보고서 (2022.12),20230314,0,37549,9419,3292,50262,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230314001049,SUCCESS,
NAVER,035420,00266961,2023,2024,20240318000844,사업보고서 (2023.12),20240318,0,39087,8853,3077,51019,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000844,SUCCESS,
NAVER,035420,00266961,2024,2025,20250318000645,사업보고서 (2024.12),20250318,0,32221,9401,3123,44747,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000645,SUCCESS,
카카오,035720,00258801,2022,2023,20230320001096,사업보고서 (2022.12),20230320,0,29386,8032,4366,41786,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320001096,SUCCESS,
카카오,035720,00258801,2023,2024,20240320002039,사업보고서 (2023.12),20240320,0,36888,8658,5360,50908,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320002039,SUCCESS,
카카오,035720,00258801,2024,2025,20250318001297,사업보고서 (2024.12),20250318,0,34586,6569,5647,46804,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001297,SUCCESS,
엔씨소프트,036570,00261443,2022,2023,20230321001334,사업보고서 (2022.12),20230321,0,10179,5625,2921,18727,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001334,SUCCESS,
엔씨소프트,036570,00261443,2023,2024,20240320001965,사업보고서 (2023.12),20240320,0,12744,5941,2932,21619,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001965,SUCCESS,
엔씨소프트,036570,00261443,2024,2025,20250318001264,사업보고서 (2024.12),20250318,0,14061,5636,2732,22431,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001264,SUCCESS,
삼성에스디에스,018260,00126186,2022,2023,20230307000606,사업보고서 (2022.12),20230307,0,17994,8286,2880,29162,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230307000606,SUCCESS,
삼성에스디에스,018260,00126186,2023,2024,20240312000879,사업보고서 (2023.12),20240312,0,18447,7400,3623,29472,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000879,SUCCESS,
삼성에스디에스,018260,00126186,2024,2025,20250311001129,사업보고서 (2024.12),20250311,0,18043,7780,3359,29184,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001129,SUCCESS,
셀트리온,068270,00413046,2022,2023,20230320000842,사업보고서 (2022.12),20230320,0,29630,10589,2805,43026,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000842,SUCCESS,
셀트리온,068270,00413046,2023,2024,20240318000913,사업보고서 (2023.12),20240318,0,33091,11033,2801,46927,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000913,SUCCESS,
셀트리온,068270,00413046,2024,2025,20250317000929,사업보고서 (2024.12),20250317,0,31448,12364,2521,46335,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000929,SUCCESS,
POSCO홀딩스,005490,00155319,2022,2023,20230309000896,사업보고서 (2022.12),20230309,0,79339,102401,5169,186911,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230309000896,SUCCESS,
POSCO홀딩스,005490,00155319,2023,2024,20240313001646,사업보고서 (2023.12),20240313,0,78419,99220,4628,182269,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240313001646,SUCCESS,
POSCO홀딩스,005490,00155319,2024,2025,20250312001016,사업보고서 (2024.12),20250312,0,73974,92711,5055,171742,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312001016,SUCCESS,
LG화학,051910,00356361,2022,2023,20230320000692,사업보고서 (2022.12),20230320,0,25095,9715,3384,38196,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000692,SUCCESS,
LG화학,051910,00356361,2023,2024,20240315000957,사업보고서 (2023.12),20240315,0,25156,10234,3327,38719,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000957,SUCCESS,
LG화학,051910,00356361,2024,2025,20250314000996,사업보고서 (2024.12),20250314,0,25101,10846,3213,39162,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314000996,SUCCESS,
SK이노베이션,096770,00631518,2022,2023,20230322000906,사업보고서 (2022.12),20230322,0,46189,49496,4545,100232,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230322000906,SUCCESS,
SK이노베이션,096770,00631518,2023,2024,20240320000950,사업보고서 (2023.12),20240320,0,46874,59515,4747,111138,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320000950,SUCCESS,
SK이노베이션,096770,00631518,2024,2025,20250318000862,사업보고서 (2024.12),20250318,0,67388,57406,5178,129974,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000862,SUCCESS,
롯데케미칼,011170,00165413,2022,2023,20230321001238,사업보고서 (2022.12),20230321,0,25745,9383,2713,37843,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001238,SUCCESS,
롯데케미칼,011170,00165413,2023,2024,20240318000951,사업보고서 (2023.12),20240318,0,29596,8552,2582,40732,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000951,SUCCESS,
롯데케미칼,011170,00165413,2024,2025,20250317000991,사업보고서 (2024.12),20250317,0,31752,8775,2912,43441,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000991,SUCCESS,
고려아연,010130,00102858,2022,2023,20230309000731,사업보고서 (2022.12),20230309,0,25470,2360,3610,31442,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230309000731,SUCCESS,
고려아연,010130,00102858,2023,2024,20240311000892,사업보고서 (2023.12),20240311,0,30553,2479,4369,37403,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240311000892,SUCCESS,
고려아연,010130,00102858,2024,2025,20250320001542,사업보고서 (2024.12),20250320,0,32880,3180,6742,42804,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001542,SUCCESS,
S-Oil,010950,00138279,2022,2023,20230320000502,사업보고서 (2022.12),20230320,0,20472,10293,4344,35111,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000502,SUCCESS,
S-Oil,010950,00138279,2023,2024,20240320001242,사업보고서 (2023.12),20240320,0,20733,9663,4182,34580,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001242,SUCCESS,
S-Oil,010950,00138279,2024,2025,20250319000503,사업보고서 (2024.12),20250319,0,21735,10389,4274,36400,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000503,SUCCESS,
하나금융지주,086790,00547583,2022,2023,20230316001364,사업보고서 (2022.12),20230316,0,54348,28081,3252,85683,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001364,SUCCESS,
하나금융지주,086790,00547583,2023,2024,20240314001628,사업보고서 (2023.12),20240314,0,57536,27223,3710,88471,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001628,SUCCESS,
하나금융지주,086790,00547583,2024,2025,20250317000894,사업보고서 (2024.12),20250317,0,59687,26394,3834,89917,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000894,SUCCESS,
신한지주,055550,00382199,2022,2023,20230315001015,사업보고서 (2022.12),20230315,0,58376,45338,3925,107641,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001015,SUCCESS,
신한지주,055550,00382199,2023,2024,20240318000635,사업보고서 (2023.12),20240318,0,60011,47667,3210,110890,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000635,SUCCESS,
신한지주,055550,00382199,2024,2025,20250318000993,사업보고서 (2024.12),20250318,0,57006,47577,3309,107894,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000993,SUCCESS,
KB금융지주,105560,00688996,2022,2023,20230316001417,사업보고서 (2022.12),20230316,0,71403,33818,5338,110561,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001417,SUCCESS,
KB금융,105560,00688996,2023,2024,20240314001585,사업보고서 (2023.12),20240314,0,66712,30764,6121,103599,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001585,SUCCESS,
KB금융,105560,00688996,2024,2025,20250314001704,사업보고서 (2024.12),20250314,0,71072,32056,6445,109575,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001704,SUCCESS,
우리금융지주,316140,01350869,2022,2023,20230316001455,사업보고서 (2022.12),20230316,0,51360,39744,5221,96327,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001455,SUCCESS,
우리금융지주,316140,01350869,2023,2024,20240314001383,사업보고서 (2023.12),20240314,0,56221,42491,5362,104076,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001383,SUCCESS,
우리금융지주,316140,01350869,2024,2025,20250318001196,사업보고서 (2024.12),20250318,0,59003,40747,5158,104910,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001196,SUCCESS,
BNK금융지주,138930,00858364,2022,2023,20230309000759,사업보고서 (2022.12),20230309,0,31900,30240,6348,68490,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230309000759,SUCCESS,
BNK금융지주,138930,00858364,2023,2024,20240314001564,사업보고서 (2023.12),20240314,0,31795,32748,5747,70292,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001564,SUCCESS,
BNK금융지주,138930,00858364,2024,2025,20250318001176,사업보고서 (2024.12),20250318,0,25846,30886,4702,61436,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001176,SUCCESS,
기업은행,024110,00149646,2022,2023,20230315001098,사업보고서 (2022.12),20230315,0,9726,20757,4261,34746,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001098,SUCCESS,
기업은행,024110,00149646,2023,2024,20240318000636,사업보고서 (2023.12),20240318,0,10745,20339,4688,35774,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000636,SUCCESS,
기업은행,024110,00149646,2024,2025,20250318001325,사업보고서 (2024.12),20250318,0,8462,19241,4175,31880,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001325,SUCCESS,
동아쏘시오홀딩스,000640,00116824,2022,2023,20230321001017,사업보고서 (2022.12),20230321,0,15144,9821,2009,26976,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001017,SUCCESS,
동아쏘시오홀딩스,000640,00116824,2023,2024,20240320001846,사업보고서 (2023.12),20240320,0,15195,10781,1619,27597,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001846,SUCCESS,
