feature,rho,p,CI_lo,CI_hi,CI_excl_0,sig
total_tokens,0.654,0.0,0.595,0.705,True,***
cosine_S,0.401,0.0,0.309,0.479,True,***
cosine_E,0.346,0.0,0.265,0.432,True,***
seed_tfidf_E,0.318,0.0,0.231,0.413,True,***
specificity,0.267,0.0,0.167,0.353,True,***
cosine_G,0.247,0.0,0.152,0.342,True,***
seed_tfidf_G,0.21,0.0,0.119,0.303,True,***
expanded_tfidf_G,0.21,0.0,0.119,0.303,True,***
expanded_tfidf_S,0.139,0.0067,0.044,0.236,True,**
seed_tfidf_S,0.131,0.0103,0.039,0.228,True,*
esg_signal_ratio,-0.061,0.2312,-0.162,0.032,False,
g_signal_ratio,-0.067,0.1947,-0.166,0.028,False,
